Symbol,Company Name,Industry,Market Cap
ARCO,Arcos Dorados Holdings,"Hotels, Restaurants & Leisure",1673300068
ARCT,Arcturus Therapeutics Holdings,Biotechnology,558497660
ARDS,Aridis Pharmaceuticals,Biotechnology,38412472
ARDX,Ardelyx,Biotechnology,138352833
ARE,Alexandria Real Estate Equities,Equity Real Estate Investment Trusts ...,26346738736
AREC,American Resources,"Oil, Gas & Consumable Fuels",160874006
AREN,Arena Group Holdings,Internet Content & Information,188590956
ARES,Ares Management,Capital Markets,21600988969
ARGO,Argo Group International Holdings,Insurance,1115166484
ARGU,Argus Capital,Blank Check / SPAC,381318927
ARGX,Argenx SE,Biotechnology,20248591685
ARHS,Arhaus,Home Improvement Retail,882396988
ARI,Apollo Commercial Real Estate Finance,Mortgage Real Estate Investment Trust...,1786975096
ARIS,Aris Water Solutions,Utilities-Regulated Water,1387812645
ARIZ,Arisz Acquisition,Blank Check / SPAC,88212774
ARKO,ARKO Corp.,Specialty Retail,1146723769
ARKR,Ark Restaurants,"Hotels, Restaurants & Leisure",75664820
ARL,American Realty Investors,Real Estate Management & Development,247933200
ARLO,Arlo Technologies,"Electronic Equipment, Instruments & C...",641034940
ARLP,Alliance Resource Partners,"Oil, Gas & Consumable Fuels",2804649573
ARMK,Aramark,"Hotels, Restaurants & Leisure",9111063536
ARMP,Armata Pharmaceuticals,Biotechnology,153620869
ARNC,Arconic,Aerospace & Defense,2919764046
AROC,Archrock,Energy Equipment & Services,1163296762
AROW,Arrow Financial,Banks,538676450
ARQQ,Arqit Quantum,Software,689491530
ARQT,Arcutis Biotherapeutics,Biotechnology,1439366813
ARR,ARMOUR Residential REIT,Mortgage Real Estate Investment Trust...,885555390
ARRW,Arrowroot Acquisition,Blank Check / SPAC,353624990
ARRY,Array Technologies,Solar,2842062121
ARTE,Artemis Strategic Investment,Shell Companies,251058856
ARTL,Artelo Biosciences,Pharmaceuticals,15206058
ARTNA,Artesian Resources,Water Utilities,497377647
ARTW,Art's-Way Manufacturing Co.,Machinery,10393824
ARVL,Arrival,Automobiles,1155210834
ARVN,Arvinas,Pharmaceuticals,2968323687
ARW,Arrow Electronics,"Electronic Equipment, Instruments & C...",7308583019
ARWR,Arrowhead Pharmaceuticals,Biotechnology,4899750487
ARYD,ARYA Sciences Acquisition IV,Blank Check / SPAC,189370745
